k,reference_id,reference_slice,sparse_mean,sparse_std,sparse_min,sparse_max,dense_fp_mean,dense_fp_std,dense_fp_min,dense_fp_max
20,s1096,67,0.9998381733894348,2.1177724192966707e-05,0.9998087882995605,0.9998666644096375,0.9998419880867004,2.1308673240127973e-05,0.9998159408569336,0.9998713731765747
50,s1096,67,0.9998606443405151,1.935831824084744e-05,0.9998274445533752,0.9998838901519775,0.9998487234115601,2.0523759303614497e-05,0.9998161792755127,0.9998679161071777
100,s1096,67,0.9998568296432495,1.7179108908749186e-05,0.9998274445533752,0.9998785853385925,0.9998718500137329,8.576981599617284e-06,0.9998586177825928,0.9998838901519775
1,s0536,125,0.8983076214790344,0.12101772427558899,0.7123686075210571,0.9983669519424438,0.34256744384765625,0.5046828985214233,-0.164505273103714,0.9641526341438293
2,s0536,125,0.9921029210090637,0.006419626995921135,0.9842028617858887,0.9984376430511475,0.7718526721000671,0.3820551633834839,0.007927965372800827,0.972710907459259
3,s0536,125,0.9980008006095886,0.0008997486438602209,0.9962737560272217,0.9989148378372192,0.9974783062934875,0.000835641345474869,0.9958313703536987,0.9980432987213135
5,s0536,125,0.9985558390617371,0.0003388752229511738,0.9980490803718567,0.9989526867866516,0.997053325176239,0.001784910331480205,0.9935254454612732,0.9984474182128906
10,s0536,125,0.9981606602668762,0.0010070259450003505,0.9964690208435059,0.9993237257003784,0.9982059597969055,0.0003904836776200682,0.9978342652320862,0.9989506006240845
20,s0536,125,0.998857319355011,0.0002641062019392848,0.9985590577125549,0.9992740750312805,0.9989138841629028,0.00043804943561553955,0.9981523156166077,0.9993237257003784
50,s0536,125,0.9991585612297058,0.00014305813238024712,0.9989148378372192,0.9993237257003784,0.9991651773452759,0.0001320840383414179,0.9989475607872009,0.9993237257003784
100,s0536,125,0.999170184135437,0.00012390906340442598,0.9989727735519409,0.9993237257003784,0.9991549253463745,0.00014930222823750228,0.9988966584205627,0.9993237257003784
1,s0866,93,0.9969742894172668,0.0012445334577932954,0.9949328303337097,0.998300313949585,0.9134394526481628,0.14503952860832214,0.6237893104553223,0.9974948167800903
2,s0866,93,0.9049574136734009,0.16116748750209808,0.5829452276229858,0.9989416599273682,0.9908930659294128,0.009039771743118763,0.9760511517524719,0.9986565113067627
3,s0866,93,0.9985997080802917,0.00048205992789007723,0.997846782207489,0.9993343353271484,0.9798642992973328,0.016872962936758995,0.9495672583580017,0.995934009552002
5,s0866,93,0.9989755749702454,0.0006380602717399597,0.9978135824203491,0.9995891451835632,0.999240517616272,0.00019252562196925282,0.9989540576934814,0.9995181560516357
10,s0866,93,0.9993645548820496,0.00029729699599556625,0.9987868070602417,0.9995725154876709,0.9995043873786926,5.651513492921367e-05,0.9994354248046875,0.9995851516723633
20,s0866,93,0.9995028376579285,8.062460256041959e-05,0.9993734359741211,0.9995819330215454,0.9994418025016785,0.00016572610184084624,0.9991894960403442,0.9995965957641602
50,s0866,93,0.9995466470718384,3.089711754000746e-05,0.9994935989379883,0.9995819330215454,0.9995303153991699,8.817497291602194e-05,0.9993579983711243,0.9995891451835632
100,s0866,93,0.999518096446991,7.655634544789791e-05,0.9993734359741211,0.9995891451835632,0.9995267987251282,5.9236481320112944e-05,0.9994332790374756,0.9995891451835632
1,s0240,205,0.984367847442627,0.005530397407710552,0.9783273339271545,0.992061972618103,0.9205266833305359,0.07437476515769958,0.8284928798675537,0.9860767722129822
2,s0240,205,0.9151729345321655,0.012794369831681252,0.8959873914718628,0.9355013966560364,0.8826314210891724,0.08896051347255707,0.7756369113922119,0.9916991591453552
3,s0240,205,0.9595505595207214,0.012651938945055008,0.9371474981307983,0.9760256409645081,0.9869717359542847,0.007986018434166908,0.971118152141571,0.9926360845565796
